[2023-09-23 09:52:07,913]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2023-09-23 09:52:53,481]   INFO - tbrains.buildServer.ACTIVITIES - New user created: user with id=1
[2023-09-23 09:52:53,496]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_create: User "user with id=1" was created by "user with id=1"
[2023-09-23 09:55:03,738]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "<Root project> {id=_Root, internal id=_Root}" project settings were edited ("version before: 1, version after: 2") by "user with id=1" with comment "Connection added"
[2023-09-23 09:55:49,483]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_create: Project "TeamCityExperiment {id=TeamCityExperiment, internal id=project1}" was created by "user with id=1"
[2023-09-23 09:55:49,512]   INFO - s.buildServer.ACTIVITIES.AUDIT - vcs_root_create: VCS root ""https://github.com/D0rianGrey/TeamCityExperiment#refs/heads/master" {internal id=1, id=TeamCityExperiment_HttpsGithubComD0rianGreyTeamCityExperimentRefsHeadsMaster, description: "https://github.com/D0rianGrey/TeamCityExperiment#refs/heads/master"}" was created by "user with id=1" with comment "In project: TeamCityExperiment"
[2023-09-23 09:55:49,589]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_create: "TeamCityExperiment / Build {id=TeamCityExperiment_Build/bt1}" was created by "user with id=1"
[2023-09-23 09:56:06,236]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "TeamCityExperiment / Build {id=TeamCityExperiment_Build/bt1}" build configuration settings were edited ("version before: 1, version after: 2") by "user with id=1" with comment "1 build step(s) were added to 'Build' build configuration"
[2023-09-23 09:56:18,233]   INFO - s.buildServer.ACTIVITIES.AUDIT - agent_authorize: Agent ""teamcityexperiment-teamcity-agent-1" {id=1}" was authorized by "user with id=1"
[2023-09-23 09:59:06,813]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=1} was added to queue by "user with id=1"
[2023-09-23 09:59:06,833]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {id=1, configuration={id=TeamCityExperiment_Build/bt1}, branch=<default>, queued, creatorNodeId="MAIN_SERVER"}, triggered by "user with id=1" (##userId='1' type='user')}
[2023-09-23 09:59:07,057]   INFO - tbrains.buildServer.ACTIVITIES - Build started; TeamCityExperiment / Build {id=TeamCityExperiment_Build/bt1} #1 {id=1, branch=<default>, agent="teamcityexperiment-teamcity-agent-1" {id=1}, triggered by "user with id=1" (##userId='1' type='user'). Started 2023-09-23 09:59:07.016, running}
[2023-09-23 10:00:37,257]   INFO - tbrains.buildServer.ACTIVITIES - Finished build TeamCityExperiment / Build {id=TeamCityExperiment_Build/bt1} #1 {id=1, branch=<default>, agent="teamcityexperiment-teamcity-agent-1" {id=1}, triggered by "user with id=1" (##userId='1' type='user'). Started 2023-09-23 09:59:15.597, finished. Status "FAILURE 'Tests failed: 1 (1 new), passed: 0'"}
